"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","budget","seed"
1,2.59296988509537,0.311557708333333,0.318298,0.316213769791667,0.0147244108357487,0.688442291666667,0.0463351705068478,0.0589080466387439,0.0511356250000001,0.311557708333333,0.741758611111111,0.737397222222222,0.726277287221181,15,"0.020",2
2,3.47270257050627,0.296356597222222,0.3034144,0.301510279861111,0.0170928919613054,0.703643402777778,0.0977985574169977,0.099337946137375,0.063343125,0.296356597222222,0.775405,0.758568055555556,0.710587206568194,13,"0.020",2
3,3.92750405384432,0.290196319444444,0.2943428,0.292548783680556,0.00804127163516022,0.709803680555556,0.111811750396332,0.123479425940936,0.0720520138888889,0.290196319444445,0.783763333333333,0.779948055555555,0.704420128687774,11,"0.020",2
4,4.88112516314412,0.278160555555556,0.28452,0.282808320486111,0.0164343288152437,0.721839444444444,0.149319167501627,0.156187393016716,0.0796766666666667,0.278160555555556,0.806459722222222,0.7965725,0.69267480995697,15,"0.020",2
5,5.9829519138333,0.269465694444444,0.2753468,0.273644325694444,0.015270301108549,0.730534305555556,0.175121973302202,0.181828341318659,0.0883709722222221,0.269465694444444,0.821235,0.816575555555556,0.684430554729063,19,"0.020",2
6,7.03989861852459,0.258941805555556,0.2641116,0.2628925875,0.0150281222533307,0.741058194444444,0.208755691852249,0.222483904215846,0.101399305555556,0.258941805555556,0.847603888888889,0.837311111111111,0.674710844233818,16,"0.020",2
7,7.6526075143844,0.250484791666667,0.2552964,0.253958890625,0.013679768996405,0.749515208333333,0.232681947279915,0.247718552201106,0.107772430555556,0.250484791666667,0.865090277777778,0.849485,0.667097871318488,11,"0.020",2
8,8.58419845625835,0.240646111111111,0.2463876,0.24536953125,0.0192502309264972,0.759353888888889,0.259707880486821,0.278812050260967,0.116412222222222,0.240646111111111,0.883901666666667,0.867630555555556,0.658454519448917,17,"0.020",2
9,9.37021106360031,0.231976527777778,0.2337976,0.233019387152778,0.00447541892433296,0.768023472222222,0.285565734431112,0.310154710312265,0.12635875,0.231976527777778,0.900965555555555,0.887798888888889,0.651021769625458,14,"0.020",2
10,10.1059188828006,0.227239236111111,0.2315856,0.230751291319444,0.0152200890762141,0.772760763888889,0.301099090024833,0.329214172422626,0.134449097222222,0.227239236111111,0.923595833333333,0.890823888888889,0.647030780242735,22,"0.020",2
11,10.5369464228457,0.222882847222222,0.2269984,0.226302579861111,0.0151113285627929,0.777117152777778,0.313529048981022,0.347075721987414,0.139310208333333,0.222882847222222,0.935368055555555,0.897486666666667,0.643403633818618,10,"0.020",2
12,11.1352165322905,0.216020347222222,0.2204524,0.219912579166667,0.0176989963884451,0.783979652777778,0.338512459542999,0.363462586414899,0.145111319444444,0.216020347222222,0.949659444444445,0.9085225,0.637771654185682,13,"0.020",2
13,11.6678457273217,0.210582291666667,0.2143008,0.213851020486111,0.0152850746843022,0.789417708333333,0.351849499083844,0.386908111349496,0.148884097222222,0.210582291666667,0.952149444444444,0.924454166666667,0.633378241610048,16,"0.020",2
14,12.0968990516783,0.204231180555556,0.2085896,0.208102381597222,0.0186023870171716,0.795768819444444,0.370561587148236,0.406472824125795,0.153526597222222,0.204231180555556,0.959455,0.939135833333333,0.628323186059324,16,"0.020",2
15,12.4408844258021,0.199873402777778,0.2033528,0.202922297222222,0.0150249355846074,0.800126597222222,0.388995824600953,0.409884789795504,0.158260763888889,0.199873402777778,0.967258888888889,0.949515833333333,0.62490111156889,20,"0.020",2
0,1.74225379723394,0.326997013888889,0.3345224,0.332128914583333,0.015451532429456,0.673002986111111,0.0208727354658382,0.0361833482254012,0.0467979861111112,0.326997013888889,0.714955,0.724646944444444,0.742938754089646,16,"0.020",3
1,2.60459688113292,0.315998194444444,0.321748,0.319738922569444,0.0116993204797817,0.684001805555556,0.0540365796595228,0.0717517596090909,0.0588218055555556,0.315998194444445,0.732246388888889,0.753400833333333,0.730992222445807,9,"0.020",3
2,3.46365426382913,0.3054425,0.3119652,0.310057712152778,0.0148850100219527,0.6945575,0.0819304865162364,0.1047693018424,0.0681822222222221,0.3054425,0.752638055555556,0.772841388888889,0.719882803079659,10,"0.020",3
3,4.24596248808542,0.294220763888889,0.3015364,0.299645500347222,0.0181038475533499,0.705779236111111,0.122790392649403,0.136694787140156,0.079394513888889,0.294220763888889,0.773952222222222,0.796395277777778,0.708436823325991,11,"0.020",3
4,5.15264035285816,0.285065,0.2888172,0.286962314930556,0.00661172158098427,0.714935,0.144044536150806,0.168703147704002,0.0904325,0.285065,0.796477222222223,0.814257777777777,0.699364277871415,12,"0.020",3
5,6.03384849735353,0.272634097222222,0.2789596,0.277623115972222,0.0179704731449639,0.727365902777778,0.176748934563228,0.218250161237715,0.105012847222222,0.272634097222222,0.818373888888889,0.846383611111111,0.687411931313418,17,"0.020",3
6,6.54079170117912,0.270607222222222,0.2742932,0.272942125,0.00855457096546661,0.729392777777778,0.18467847847464,0.220744162182397,0.106401666666667,0.270607222222222,0.820865,0.850723888888889,0.68550171489679,12,"0.020",3
